user_handle,problem_id,timestamp,problem_rating,problem_tags
maspy,1399:A,1626848936,800,"['greedy', 'sortings']"
maspy,1385:G,1626802037,2300,"['2-sat', 'dfs and similar', 'dsu', 'graphs', 'implementation']"
maspy,1385:F,1626800196,2300,"['data structures', 'greedy', 'implementation', 'trees']"
maspy,1385:E,1626783496,2000,"['constructive algorithms', 'dfs and similar', 'graphs']"
maspy,1385:D,1626782035,1500,"['bitmasks', 'brute force', 'divide and conquer', 'dp', 'implementation']"
maspy,1385:C,1626781305,1200,['greedy']
maspy,1385:B,1626781042,800,['greedy']
maspy,1385:A,1626741099,800,['math']
maspy,1374:F,1626740850,2400,"['brute force', 'constructive algorithms', 'implementation', 'sortings']"
maspy,1374:E1,1626739965,1600,"['data structures', 'greedy', 'sortings']"
maspy,1374:E2,1626739733,2500,"['data structures', 'greedy', 'implementation', 'sortings', 'ternary search', 'two pointers']"
maspy,1374:D,1626724822,1400,"['math', 'sortings', 'two pointers']"
maspy,1374:C,1626724031,1000,"['greedy', 'strings']"
maspy,1374:B,1626723829,900,['math']
maspy,1374:A,1626723606,800,['math']
maspy,1367:F1,1626722790,2100,"['dp', 'greedy', 'two pointers']"
maspy,1367:F2,1626722761,2400,"['binary search', 'data structures', 'dp', 'greedy', 'sortings', 'two pointers']"
maspy,1367:E,1626682945,1900,"['brute force', 'dfs and similar', 'dp', 'graphs', 'greedy', 'number theory']"
maspy,1367:D,1626681989,1800,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
maspy,1367:C,1626636382,1300,"['constructive algorithms', 'greedy', 'math']"
maspy,1367:B,1626635608,800,"['greedy', 'math']"
wsyear,713:C,1644155071,2300,"['dp', 'sortings']"
wsyear,13:C,1644152286,2200,"['dp', 'sortings']"
wsyear,1151:F,1644055673,2300,"['combinatorics', 'dp', 'matrices', 'probabilities']"
wsyear,1278:F,1644033893,2600,"['combinatorics', 'dp', 'math', 'number theory', 'probabilities']"
