0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
minato,15,6,11,19,16,19,11,20,15,15,17,12,8,7,2,1,,,,,,,,,,,24,11,
AmirAli-Asgari,18,28,19,23,35,16,27,36,23,44,38,28,13,11,13,9,2,1,2,2,,,1,,,,122,25,62
zjy2008,5,1,1,2,2,4,5,8,4,3,6,7,12,7,20,19,11,10,11,11,14,6,3,7,2,3,10,3,6
InternetPerson10,17,15,13,9,6,5,10,7,12,5,2,1,1,,,1,,,,,,,,,,,37,8,14
YocyCraft,11,10,10,9,17,16,9,11,12,11,16,9,9,7,12,3,5,5,,,1,,,,,,58,13,1
Yam,83,62,52,53,56,83,62,106,88,90,60,35,15,5,4,1,,,,,,,,,,,258,86,4
CJ_xde_lt,3,2,,2,,,3,7,2,3,6,5,12,7,6,6,5,1,,,,,,,,,5,3,
fangzhijian2020,1,1,6,3,4,6,,3,8,4,3,4,13,4,6,14,7,13,7,8,5,6,7,5,,1,14,8,2
registeretsiger,10,7,5,8,11,14,19,22,17,18,8,8,16,9,14,10,12,12,6,3,6,6,7,,2,5,22,11,5
antonis.white,25,20,19,24,22,29,22,21,30,29,9,10,9,2,6,1,,,,,,,,,,,33,12,221
Dorost,142,94,111,89,87,97,105,73,33,34,13,8,2,1,1,,1,,,,,,,,,,434,135,103
khuepr123,14,14,17,14,15,19,17,10,12,9,8,7,6,3,3,3,,,,,,,,,,,65,15,4
Zhouershan,9,12,10,21,11,19,16,18,35,21,44,43,47,58,56,147,31,55,23,24,19,25,21,10,9,10,34,14,30
yeminghan,22,24,20,21,18,16,11,15,18,11,9,13,6,4,5,2,1,1,,,,,1,,1,,93,22,12
AmShZ,36,19,24,39,32,44,29,33,34,47,53,50,51,26,28,15,16,7,6,6,1,,,,,,55,29,21
arnold518,34,22,37,33,23,31,36,35,19,21,6,13,7,2,3,,,,,,,,,,,,64,24,7
Kidulthood,4,7,3,4,3,5,10,6,22,11,16,21,27,42,38,46,87,37,18,8,11,11,13,8,7,2,14,3,3
RobertoFirmino,21,22,15,21,11,11,17,29,31,9,21,11,16,9,20,17,2,6,7,2,2,,,,,,59,18,
cfhj,17,10,7,9,15,11,19,18,49,21,9,6,12,6,11,,4,,1,,1,,,,,,33,8,1
yaoxi,9,7,9,9,9,13,6,6,6,1,5,6,5,2,3,3,3,11,8,4,3,2,4,5,3,,25,10,
sevlll777,68,42,61,59,43,49,34,38,24,32,12,8,10,5,2,,,,1,,,,2,,,,94,54,135
k1r1t0,38,31,33,37,26,28,25,34,19,24,15,13,9,8,7,5,7,2,,1,,,,,,,260,57,47
zltzlt,90,107,124,125,115,134,117,156,160,192,150,133,130,106,115,54,42,42,33,14,14,8,6,4,,2,367,108,24
HHY_zZhu,18,17,12,16,14,11,13,23,28,37,26,33,45,18,3,,,,,,,,,,,,55,13,27
ab1aze,4,3,7,9,5,12,10,8,30,15,18,34,48,45,50,71,95,69,50,17,24,30,25,26,14,20,19,4,7
jinqihao2026,,2,2,2,,3,2,2,1,2,1,3,6,1,3,5,5,11,6,2,,,3,,,,7,1,
nicksms,17,18,10,16,9,18,13,12,11,12,15,14,12,30,36,19,5,2,5,,,,,,,,58,11,20
CodeFurces,5,1,6,2,5,1,4,1,5,2,2,2,2,1,1,1,3,,1,,2,,,,,,22,1,
servants,7,10,6,8,5,6,10,12,9,5,14,12,7,9,30,8,14,14,15,2,11,5,10,,9,4,29,11,9
Celebrate,12,14,15,22,17,11,15,17,24,18,19,17,16,20,21,19,16,9,13,9,10,1,2,5,1,2,42,11,43
ngpin04,19,8,11,14,13,21,18,34,40,69,109,108,106,33,2,1,2,,,,,,,,,,24,17,15
yuanruiqi,15,15,8,8,10,11,11,11,12,6,18,15,15,27,30,4,16,8,5,1,2,1,2,,,,47,8,13
HHH666666,15,10,5,10,9,7,9,6,14,14,11,9,7,9,4,1,3,1,2,,2,,,,,,39,9,1
2745518585,13,8,9,15,17,17,26,25,33,32,29,32,30,42,23,27,19,25,19,17,16,10,16,11,2,6,37,15,9
Lawali,31,19,42,38,28,36,39,43,38,44,25,30,25,13,23,9,4,5,,,1,,,,,,50,23,1
Linx,14,12,8,12,14,12,10,9,9,8,7,5,9,5,10,7,1,,1,,,,,,,,50,7,28
Andreasyan,36,29,40,31,41,42,51,50,70,104,47,28,17,19,15,4,3,3,,1,,,,,,,76,34,166
YXHuang,15,9,9,5,15,8,2,12,7,15,8,2,4,3,2,,1,,,,,,,,,,58,6,
Redpo,7,12,10,14,11,8,10,11,4,5,5,1,,1,,,,,,,,,,,,,45,8,8
lvkaiyi0811,10,11,7,7,13,11,9,10,16,23,132,86,85,44,18,4,2,,2,,,,,,,,39,10,1
zhylj,17,12,21,13,13,24,21,22,26,17,13,20,11,19,8,6,3,3,5,2,1,,,,,,24,17,2
ahihi1234,26,39,38,48,46,49,77,55,32,34,36,34,23,9,23,12,11,8,7,2,2,,1,,,,141,31,26
