0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
yuan-shen,20,21,10,13,2,1,,,2,,,,,,,,,,,,,,,,,,128,16,5
Mercy.,1,2,6,5,3,2,1,3,1,1,,,,,,,,,,,,,,,,,26,2,
zhenghanyun,4,4,3,,1,3,4,10,12,10,,,,,1,1,,,,,,,,,,,14,2,
envariant,24,29,14,12,8,3,,1,,,,,,,,,,,,,,,,,,,146,18,
caoshurui,16,16,9,120,40,36,20,47,30,59,36,28,18,5,1,1,,,,,,,2,,,1,65,12,
sashko123,36,8,7,4,3,2,3,,,,,,,,,,,,,,,,,,,,94,28,3
Mohamed_Reda,4,7,5,1,4,2,,,2,1,,,,,,,,,,,,,,,,,86,10,1
Beacon,6,4,1,,1,,,,,,1,,,,,,,,,,,,,,,,14,1,
angryarabianman,4,6,4,4,5,1,2,2,,,1,,,,,,,,,,,,,,,,38,9,2
Jlyfish,6,9,3,6,6,4,4,4,1,1,1,,,,,,,,,,,,,,,,45,5,14
Shayan_Shirazi,32,19,23,25,17,25,10,9,8,15,5,15,6,2,1,1,1,,,,,,,,,,206,42,25
liqixian,9,5,5,4,1,3,3,1,,1,,,,,,,,,,,,,,,,,23,3,
TJLG-fly,33,20,15,11,6,5,1,2,,2,1,,,,,,,,,,,,,,,,221,33,1
shahmah,30,19,15,5,8,4,4,10,3,4,,,,,,,,,,,,,,,,,257,39,1
MrPerson,32,30,57,56,55,82,80,18,5,4,,,,,,,,,,,,,,,,,128,22,19
kingmessi,55,48,47,36,33,8,4,3,,1,,,,,,,,,,,,,,,,,83,31,3
LUlululu1616,2,2,3,2,3,1,3,2,5,8,19,13,3,16,7,4,1,1,,1,,,,,2,,8,2,8
Jalppatel1428,47,46,32,61,70,107,120,54,1,1,,2,3,,,,,,,,,,,,,,82,35,3
jackson.souza,7,14,12,13,12,13,5,1,1,1,2,1,1,,,,,,,,,,,,,,51,12,13
dbaumg,32,14,20,16,11,6,5,1,,,,,,,,,,,,,,,,,,,184,33,19
knightmare_,11,12,20,17,18,8,4,1,,1,,,,,,,,,,,,,,,,,45,10,
abdelrahman_rashed,43,31,25,17,86,56,38,12,5,3,1,,1,,,,,,,,,,,,,,71,8,7
Farmer_D,1,,3,3,5,7,4,4,9,16,20,21,16,24,20,16,19,17,11,12,9,2,2,,2,,7,5,
SamyakSinghania,8,8,5,2,5,,2,3,,,,,,,,,,,,,,,,,,,38,6,
_helloLad,27,19,16,42,26,7,3,2,1,,,,,,,,,,,,,,,,,,87,22,
Krypto_Ray,12,7,12,13,11,14,4,6,3,1,,,,,,,,,,,,,,,,,51,13,2
Gondozu,9,12,12,19,24,11,11,2,5,2,3,,,,,,,,,,,,,,,,39,9,23
Kustov_Vadim_533,7,7,2,2,5,6,4,2,,1,,,,,,,,,,,,,,,,,44,7,
OldMemory,18,11,5,2,4,7,,3,,2,,,,,,,,,,,,,,,,,49,6,10
SeaYellow,2,4,2,2,,,1,,,,,,,,,,,,,,,,,,,,7,1,
Vania_Javadi,23,14,17,17,24,30,34,21,19,14,3,3,3,,,,,,,,,1,,,,,170,22,10
bugmaker3243,2,1,2,2,1,3,,5,6,12,21,2,1,1,4,,,,1,,,,,,,,9,3,
Scalm,27,19,18,11,17,18,19,6,1,1,,,,,,,,,,,,,,,,,56,8,1
milind0110,30,23,45,58,46,30,18,14,6,4,,,1,,,,,,,,,,,,,,78,28,
vyshniak.n,8,13,3,3,4,3,,,,,,2,,,,,,,,,,,,,,,99,6,51
Maximus11,32,22,22,15,33,33,27,4,2,1,,,,,,,,,,,,,,,,,40,23,
Richard1211,7,7,6,7,4,3,5,1,1,3,2,1,3,4,,2,4,,1,,1,2,,,,,20,4,
Faizal,19,20,25,26,27,13,6,17,2,2,4,1,1,,,,,,,,,,,,,,66,25,6
Zero_L,3,7,2,5,2,5,9,4,5,2,2,1,,,1,,,,,,,,,,,,17,4,
kovir_aleksey_korroy,11,9,1,7,6,10,5,3,1,,1,1,,,,,,,,,,,,,,1,50,6,1
Qazall,25,23,45,14,27,31,34,23,22,21,13,5,10,3,2,3,1,2,,,,1,,,,,106,17,15
charan,13,8,4,5,1,3,5,1,,1,,,,2,,,,,,,,,,,,,30,4,5
Auroraa_,3,2,,1,,13,2,1,1,,2,,,,,,,,,,,,,,,,8,2,
AkibAzmain,15,10,7,14,5,12,13,8,2,,,,,,,,,,,,,,,,,,39,7,1
Rising-coder,59,56,54,57,58,17,6,15,,4,2,,,,,,,,,,,,,,,,104,28,4
Oreki.,8,9,4,2,4,2,1,,,,,,,,,,,,,,,,,,,,49,10,1
Soumojitkgp,3,5,3,2,2,6,7,5,,,,,,,,,,,,,,,,,,,13,4,
xbai,42,19,13,62,20,28,15,9,9,3,2,1,1,,,,,,,,,,,,,,61,13,1
FransValli,5,6,5,3,6,5,1,2,1,1,,1,,1,,,,,,,,,,,,,34,5,
a6z,4,2,1,2,1,1,2,3,,,,,,,,,,,,,,,,,,,14,3,
Tamora,23,39,39,35,34,17,4,7,2,1,,,,,,,,,,,,,,,,,82,13,
Ferrriccc,31,50,36,48,29,40,18,11,1,3,3,,1,,,,,,,,,,,,,,119,35,5
bananasaur,20,14,2,2,2,,,2,,,,,,,,,,,,,,,,,,,104,23,3
drath10,13,10,14,14,45,17,7,4,1,1,,,,,,,,,,,,,,,,,44,9,
Mr_Ell,9,8,9,6,6,2,3,2,,2,,,,,,,,,,,,,,,,,81,20,1
liupengsay,13,15,11,16,13,54,55,51,78,39,25,17,10,2,,,,,,,,,,,,,24,12,8
serifefedartar,33,35,40,32,58,76,48,4,,,,,,,,,,,,,,,,,,,37,39,
sumairu,5,4,5,2,15,13,4,10,2,2,,1,3,1,,,,,,,,,,,,,21,1,
TurtleZW,11,13,19,23,30,24,28,20,26,48,26,42,31,27,19,13,7,5,2,1,5,1,1,,,,50,21,
IvanovAl,,4,3,3,17,2,6,,1,,,,1,,,,1,,,,,,,,,,11,2,6
Wy_g,5,5,,2,5,2,,1,,,,,,,,,,,,,,,,,,,19,3,
canhnam357,264,237,242,101,55,42,27,21,6,3,,,,,,,,,,,,,,,,,449,218,32
yash_karakoti,28,33,48,47,72,66,11,10,2,2,1,,,,,,,,,,,,,,,,120,18,1
Fiatiustitia,2,8,3,5,6,3,5,3,1,2,1,3,,,,,,,,,,,,,,,21,8,1
Mohamed308,12,19,15,18,15,12,10,10,3,7,3,1,3,,,,,,,,,,,,,,68,7,53
afeng111,5,4,1,7,1,7,3,7,2,,1,,,,,,,,,,,,,,,,18,4,
etherinmatic,4,8,11,13,5,11,25,23,8,7,,1,,,1,,,,,,,,,,,,23,7,
Mehrad2,17,10,6,19,16,11,17,20,9,6,5,3,1,2,,1,,,,,,,,,,,174,22,3
alexok2006,20,17,13,10,7,14,3,3,4,3,4,,1,,,,,,,,,,,,,,83,19,26
IanISam,22,28,18,15,12,24,16,15,32,12,1,,1,,,,,,,,,,,,,,149,29,11
pk_27,16,18,23,21,39,26,24,2,1,3,,,,,,,,,,,,,,,,,75,14,1
ArushN27,5,8,22,20,16,14,6,5,2,,,,,,,,,,,,,,,,,,40,6,
psychobot,24,13,14,20,18,15,2,5,2,,2,,,,,,,,,,,,,,,,38,12,1
shiqiaqiaya,14,11,11,14,14,14,12,14,9,10,5,5,6,5,3,,,,1,,,,,,,,40,6,3
Luvidi,5,8,6,8,3,3,1,,,1,,,,,,,,,,,,,,,,,11,5,
431jericho,13,18,13,13,24,18,13,4,2,,,,,,,,,,,,,,,,,,87,17,
Shri_874,8,20,29,16,25,30,4,3,1,1,,,,,,,,,,,,,,,,,109,19,
katarina001,20,20,10,15,4,13,9,6,1,,1,,,,,,,,,,,,,,,,58,10,1
Edeeva,44,20,19,26,31,11,5,5,4,2,1,,,,,,,,,,,,,,,,113,32,
wangmarui,38,40,35,34,22,22,14,10,5,6,9,8,9,5,1,,,,1,,,,,,,,108,37,1
Kyte,,2,3,3,2,3,,1,1,1,,1,,,1,,,,,,,,,,,,11,4,
baijiaohu_fan,23,25,24,22,27,24,30,24,12,9,8,5,2,1,,,,,,,,,,,,,124,21,
CGemmy,52,58,33,38,37,35,17,18,5,6,2,,,,,,,,,,,,,,,,137,43,8
M-Manas-s,46,29,81,32,48,43,7,4,4,1,,,,,,,,,,,,,,,,,75,22,
yud08,8,11,6,8,7,13,14,4,,2,1,,,,,,,,,,,,,,,,43,9,
g1dr4ch,5,3,29,6,2,1,4,4,2,,,,,,,,,,,,,,,,,,35,5,6
Arnoob2120,8,11,4,9,3,8,3,1,1,,,,,,,,,,,,,,,,,,25,7,1
ZRT_HuyPhuoc,21,23,27,23,19,23,20,21,10,8,8,1,,,,,,,,,,,,,,,71,19,
Zxyoul,6,8,3,5,,4,3,1,,1,,,,,,,,,,,,,,,,,27,3,
hungeazy,8,7,4,5,2,3,2,2,1,,,,,,,,,,,,,,,,,,75,10,
PieArmy,6,10,2,4,2,2,5,1,3,,,,,,,,,,,,,,,,,,34,5,
Synaptic_Savant,10,16,9,3,4,,1,,,,,,,,,,,,,,,,,,,,78,9,
Iliya-Aghazadeh,29,38,23,25,18,18,15,18,13,21,13,16,19,5,9,6,5,1,3,,,,,,,,162,32,14
zeemanz,7,2,5,4,4,3,1,1,3,1,,1,,,1,,,1,,2,,,,,,,23,5,
assazzin_2,37,46,39,40,39,23,21,9,7,3,,2,,,1,,,,,,,,,,,,157,38,59
TJUHuangTao,7,7,9,10,5,4,3,1,2,,1,,1,,,,,,,,,,,,,,35,6,10
MisterReaper,13,14,12,13,12,24,18,12,3,2,2,,1,,,,,,,,,,,,,,66,10,1
cp_first,77,48,37,11,8,3,1,2,1,,,,,,,,,,,,,,,,,,50,17,3
kkoushik5656,3,8,6,9,11,15,26,10,1,,,,,,,,,,,,,,,,,,20,7,3
ibrahimwq,49,73,44,46,38,55,26,18,8,,3,1,,,,,,,,,,,,,,,278,47,2
ji_114514,3,10,7,5,12,1,3,,4,4,,2,,1,,,,,,,,,,,,,21,6,
otarius,31,27,14,15,7,17,7,10,5,11,4,1,1,,,,,,,,,,,,,,154,24,
koorui,8,4,7,18,25,15,2,1,2,2,,1,3,,,,,,,,,,,,,,32,7,5
Jawad.Akbar_JJ,56,43,43,39,20,18,16,4,3,3,4,,,1,,,,,,,,,,,,,193,60,38
dhruv10050,19,17,47,33,25,19,11,1,1,,,,,,,,,,,,,,,,,,71,15,
harshit.30,57,54,37,40,35,6,7,1,,,,,,,,,,,,,,,,,,,97,62,
Max_Calincu,7,4,6,3,4,2,2,2,2,1,,,,,,,,,,,,,,,,,25,3,1
_R00T,12,6,6,8,2,6,9,5,6,5,4,2,1,,,1,,,,,,,,,,,57,10,1
darya_navard,30,25,25,33,29,22,25,19,21,21,25,8,18,8,6,6,3,3,1,,,,,,,102,213,38,8
aditya_neer,11,11,9,6,7,4,1,1,3,,,,,,,,,,,,,,,,,,47,12,
